Accession Number, Predicted Optimum Growth Temperature
GCF_008000775.2, 45.27 ℃
GCF_008152015.1, 85.16 ℃
GCF_007833275.1, 47.28 ℃
GCF_008033705.1, 60.85 ℃
GCF_009914355.1, 59.24 ℃
GCF_009917665.1, 61.32 ℃
GCF_003351865.1, 83.20 ℃
GCF_032878975.1, 41.95 ℃
GCF_009617995.1, 44.93 ℃
GCF_008831545.1, 48.26 ℃
GCF_009601705.1, 78.26 ℃
GCF_009602405.1, 78.19 ℃
GCF_016906025.1,NA
GCF_011602445.1, 44.63 ℃
GCF_018141185.1, 50.14 ℃
GCF_013267195.1, 43.21 ℃
GCF_013402875.1, 39.57 ℃
GCF_013401515.1,NA
GCF_013391085.1, 46.27 ℃
GCF_014876775.1, 94.45 ℃
GCF_017094485.1, 46.77 ℃
GCF_009217585.1, 45.05 ℃
GCF_018128925.1, 37.03 ℃
GCF_016917835.2, 46.17 ℃
GCF_016917855.1, 46.16 ℃
GCF_027563145.1, 44.93 ℃
GCF_017352155.2, 46.53 ℃
GCF_021184045.1, 34.74 ℃
GCF_019704315.1, 82.90 ℃
GCF_018502485.1, 42.59 ℃
GCF_018623055.1, 45.68 ℃
GCF_017094445.1, 49.75 ℃
GCF_019693215.1, 42.64 ℃
GCF_024972735.1, 50.69 ℃
GCF_024972755.1, 44.74 ℃
GCF_023746595.1, 83.54 ℃
GCF_023617305.1, 36.68 ℃
GCF_019879105.1,NA
GCF_019880225.1,NA
GCF_020885915.1, 67.61 ℃
GCF_020150815.1, 45.14 ℃
GCF_020097815.1, 44.39 ℃
GCF_020097835.1, 44.00 ℃
GCF_020405245.1,NA
GCF_020405205.1,NA
GCF_020405225.1,NA
GCF_020618475.1,NA
GCF_020614375.1,NA
GCF_021655615.1, 78.80 ℃
GCF_020736485.1, 46.62 ℃
GCF_021249345.1, 42.66 ℃
GCF_021249405.1, 43.34 ℃
GCF_021431925.1, 42.86 ℃
GCF_022693705.1, 89.68 ℃
GCF_023028105.1,NA
GCF_023028345.1, 40.48 ℃
GCF_023028225.1, 44.69 ℃
GCF_023016325.1, 63.15 ℃
GCF_023115355.1,NA
GCF_026013925.1,NA
GCF_023238445.1,NA
GCF_023238205.1, 44.57 ℃
GCF_023702125.1, 43.76 ℃
GCF_023703775.1, 41.95 ℃
GCF_037201915.1, 44.09 ℃
GCF_023703795.1, 42.70 ℃
GCF_023913515.1, 46.99 ℃
GCF_024138145.1,NA
GCF_017357105.1, 45.85 ℃
GCF_024218795.1, 43.54 ℃
GCF_024138165.1, 42.81 ℃
GCF_024138125.1,NA
GCF_024204665.1,NA
GCF_023973145.1,NA
GCF_024227435.1,NA
GCF_024266705.1, 47.42 ℃
GCF_024218815.1, 46.50 ℃
GCF_024227715.1, 40.91 ℃
GCF_024296665.1,NA
GCF_024300625.1,NA
GCF_024296685.1, 46.84 ℃
GCF_024228315.1, 42.71 ℃
GCF_024298905.1,NA
GCF_024298845.1,NA
GCF_024298865.1,NA
GCF_024298885.1,NA
GCF_024298825.1,NA
GCF_024362405.1,NA
GCF_024362485.1, 47.63 ℃
GCF_024362525.1, 45.04 ℃
GCF_024707485.1, 87.22 ℃
GCF_029232205.1, 62.32 ℃
GCF_029207735.1, 60.80 ℃
GCF_029207715.1, 46.75 ℃
GCF_029229925.1, 47.04 ℃
GCF_018228765.1, 45.54 ℃
GCF_026248685.1,NA
GCF_026692625.1, 61.72 ℃
GCF_028747785.1,NA
GCF_032594435.1, 35.93 ℃
