Accession Number, Predicted Optimum Growth Temperature
GCF_000011005.1, 45.06 ℃
GCF_000025685.1, 44.86 ℃
GCF_028471785.1, 89.17 ℃
GCF_000013445.1, 44.41 ℃
GCF_000012285.1, 73.61 ℃
GCF_000152265.2, 52.73 ℃
GCF_004126515.1, 45.08 ℃
GCF_000012545.1, 45.10 ℃
GCF_000016385.1, 101.93 ℃
GCF_000211475.1, 93.48 ℃
GCF_000026045.1, 47.90 ℃
GCF_009392895.1, 45.09 ℃
GCF_000014945.1, 57.96 ℃
GCF_000063445.1, 47.29 ℃
GCF_000226975.2, 46.86 ℃
GCF_000009185.1, 34.62 ℃
GCF_000015825.1, 44.09 ℃
GCF_000015225.1, 96.37 ℃
GCF_017352095.1, 46.70 ℃
GCF_000019605.1, 88.69 ℃
GCF_000015205.1, 97.37 ℃
GCF_000385565.1, 78.65 ℃
GCF_000151105.2, 87.66 ℃
GCF_033472595.1, 51.73 ℃
GCF_000018305.1, 94.69 ℃
GCF_000016605.1, 83.69 ℃
GCF_000015945.1, 84.78 ℃
GCF_000016125.1, 42.90 ℃
GCF_000017165.1, 46.09 ℃
GCF_000281695.1, 44.19 ℃
GCF_000015765.1, 41.96 ℃
GCF_000015805.1, 105.31 ℃
GCF_000015145.1, 100.53 ℃
GCF_000022205.1, 44.73 ℃
GCF_000017185.1, 57.48 ℃
GCF_000022485.1, 82.92 ℃
GCF_000016525.1, 37.30 ℃
GCF_000024305.1, 82.54 ℃
GCF_000022445.1, 79.78 ℃
GCF_000022405.1, 80.31 ℃
GCF_000022425.1, 79.99 ℃
GCF_000022385.1, 81.71 ℃
GCF_000018465.1, 35.65 ℃
GCF_000022465.1, 82.76 ℃
GCF_000025665.1, 76.99 ℃
GCF_000019805.1, 96.64 ℃
GCF_000017945.1, 93.98 ℃
GCF_000017625.1, 47.84 ℃
GCF_000172995.2, 48.70 ℃
GCF_000069025.1, 45.06 ℃
GCF_000023965.1, 44.66 ℃
GCF_029633915.1, 45.78 ℃
GCF_000020905.1, 94.25 ℃
GCF_000023945.1, 45.37 ℃
GCF_000021965.1, 41.05 ℃
GCF_000306765.2, 48.35 ℃
GCF_000969885.1, 49.53 ℃
GCF_946463545.1, 60.49 ℃
GCF_019175345.1, 80.98 ℃
GCF_000246985.2, 90.97 ℃
GCF_000018365.1, 86.79 ℃
GCF_000215995.1, 92.88 ℃
GCF_013388255.1, 37.05 ℃
GCF_000025325.1, 45.97 ℃
GCF_000025865.1, 45.32 ℃
GCF_000025625.1, 42.37 ℃
GCF_020614395.1, 47.92 ℃
GCF_039641995.1, 72.38 ℃
GCF_000148385.1, 97.95 ℃
GCF_000025285.1, 88.51 ℃
GCF_000092305.1, 89.85 ℃
GCF_000023985.1, 83.35 ℃
GCF_000024625.1, 77.11 ℃
GCF_000517445.1, 86.23 ℃
GCF_001971705.1, 47.64 ℃
GCF_000025505.1, 96.06 ℃
GCF_000092465.1, 87.73 ℃
GCF_000022365.1, 89.34 ℃
GCF_000327485.1, 43.18 ℃
GCF_000022545.1, 83.23 ℃
GCF_003201765.2, 66.23 ℃
GCF_000092185.1, 92.06 ℃
GCF_003990725.2, 44.07 ℃
GCF_000223905.1, 43.70 ℃
GCF_000024185.1, 31.25 ℃
GCF_000828535.1, 43.39 ℃
GCF_000828555.1, 43.13 ℃
GCF_000025525.1, 84.64 ℃
GCF_000196655.1, 42.00 ℃
GCF_000179575.2, 59.36 ℃
GCF_003856835.1, 44.06 ℃
GCF_018200015.1, 43.00 ℃
GCF_000144915.1, 82.64 ℃
GCF_000327505.1, 73.50 ℃
GCF_000217995.1, 42.44 ℃
GCF_000147875.1, 40.56 ℃
GCF_023167465.1, 72.51 ℃
GCF_000194625.1, 81.96 ℃
GCF_000223395.1, 100.75 ℃
GCF_000328685.1, 46.77 ℃
