Accession Number, Predicted Optimum Growth Temperature
GCF_000970025.1, 39.35 ℃
GCF_000969985.1, 38.55 ℃
GCF_000970285.1, 41.55 ℃
GCF_000970265.1, 40.27 ℃
GCF_000970245.1, 43.97 ℃
GCF_000970225.1, 44.12 ℃
GCF_000970185.1, 44.45 ℃
GCF_025035885.1, 43.85 ℃
GCF_000970165.1, 44.10 ℃
GCF_000970145.1, 39.10 ℃
GCF_000970125.1, 40.30 ℃
GCF_000970085.1, 40.47 ℃
GCF_000969925.1, 49.49 ℃
GCF_000969905.1, 38.97 ℃
GCF_034480035.2, 39.49 ℃
GCF_023093535.1, 43.50 ℃
GCF_004799665.1, 47.29 ℃
GCF_000730285.1, 48.43 ℃
GCF_013407145.1, 34.78 ℃
GCF_013407185.1, 33.09 ℃
GCF_024498195.1, 44.15 ℃
GCF_000769655.1, 89.15 ℃
GCF_026410925.1, 47.37 ℃
GCF_024228675.1, 41.15 ℃
GCF_013343295.1, 82.99 ℃
GCF_003342675.1, 42.71 ℃
GCF_000993805.1, 89.70 ℃
GCF_022869805.1, 45.14 ℃
GCF_003431325.1, 84.59 ℃
GCF_000800805.1, 52.07 ℃
GCF_041431065.1, 34.50 ℃
GCF_000875775.1, 35.43 ℃
GCF_023008545.1, 47.88 ℃
GCF_020217425.1, 44.79 ℃
GCF_000827835.1, 44.18 ℃
GCF_000955905.1, 33.34 ℃
GCF_001305655.1, 48.59 ℃
GCF_001577775.1, 97.62 ℃
GCF_001548675.1, 35.36 ℃
GCF_003967175.1, 88.49 ℃
GCF_900083515.1, 49.92 ℃
GCF_902813195.1, 91.97 ℃
GCF_003058365.1, 42.40 ℃
GCF_013402815.2, 46.16 ℃
GCF_020886315.1, 81.42 ℃
GCF_024227995.1, 40.05 ℃
GCF_013456555.2, 45.96 ℃
GCF_013391105.1, 41.15 ℃
GCF_001647085.1, 86.79 ℃
GCF_001304615.2, 47.87 ℃
GCF_029633965.1, 36.92 ℃
GCF_003268005.1, 40.81 ℃
GCF_900696045.1, 38.98 ℃
GCF_009762275.1, 42.91 ℃
GCF_001870125.1, 36.68 ℃
GCF_002787055.1, 36.46 ℃
GCF_003721175.2, 43.55 ℃
GCF_002025255.2, 43.07 ℃
GCF_003721435.2, 42.97 ℃
GCF_031201125.1, 52.27 ℃
GCF_001886955.1, 48.77 ℃
GCF_013340765.1, 72.86 ℃
GCF_001719125.1, 80.22 ℃
GCF_002156965.1, 36.34 ℃
GCF_900177045.1, 40.62 ℃
GCF_002813675.1, 42.15 ℃
GCF_024498175.1, 42.93 ℃
GCF_002214165.1, 60.07 ℃
GCF_001989615.1, 45.03 ℃
GCF_002201915.1, 74.06 ℃
GCF_002201895.1, 73.87 ℃
GCF_013407165.1, 34.05 ℃
GCF_002197185.1, 86.41 ℃
GCF_900198835.1, 89.87 ℃
GCF_904067545.1, 85.96 ℃
GCF_002356395.1, 60.79 ℃
GCF_963457545.1, 36.38 ℃
GCF_003491305.1, 45.90 ℃
GCF_021233415.1, 43.88 ℃
GCF_003430805.1, 46.43 ℃
GCF_002906215.1, 77.43 ℃
GCF_041154675.1, 72.56 ℃
GCF_002952775.1, 50.04 ℃
GCF_900248165.1, 77.50 ℃
GCF_019880245.1, 42.08 ℃
GCF_013407275.1, 36.71 ℃
GCF_013407385.1, 34.13 ℃
GCF_016806735.1, 62.48 ℃
GCF_004114375.1, 44.93 ℃
GCF_004087835.1, 47.26 ℃
GCF_006740685.1, 36.67 ℃
GCF_012222305.1, 77.17 ℃
GCF_901686465.1, 45.76 ℃
GCF_902827225.1, 73.31 ℃
GCF_009617975.1, 61.02 ℃
GCF_005155585.1, 44.92 ℃
GCF_030323845.1, 55.60 ℃
GCF_006274605.1, 85.43 ℃
GCF_023169545.1, 58.05 ℃
GCF_031200575.1, 52.82 ℃
